opened_utc,symbol,side,bar_utc,primary_up,primary_down,meta_up,meta_down,ticket,entry_price,tp,sl,volume,equity_before,pnl_usd
2026-09-23T10:18:37.243964+00:00,USDJPY,BUY,2026-09-22T23:55:00+00:00,0.5994,0.5214,0.4067,0.364,3270286522,157.802,157.952,157.702,0.21,538.3400000001815,4.52
2026-09-23T10:20:47.121402+00:00,USDJPY,BUY,2026-09-22T23:55:00+00:00,0.5994,0.5214,0.4067,0.364,3270293432,157.798,157.948,157.698,0.06,118.34000000056346,2.62
2026-09-23T11:18:50.208161+00:00,USDJPY,BUY,2026-09-22T23:55:00+00:00,0.6148,0.5279,0.4533,0.3708,3270522973,157.907,158.057,157.807,0.2,1012.67,5.57
2026-09-23T20:41:04.759418+00:00,USDJPY,SELL,2026-09-23T20:40:00+00:00,0.2438,0.4849,0.9135,0.7394,3273726211,158.34,158.19,158.44,0.2,1018.24,-12.64
2026-09-23T20:44:51.492788+00:00,GBPUSD,SELL,2026-09-23T20:40:00+00:00,0.1838,0.4182,0.9267,0.784,3273732696,1.324,1.3225,1.325,0.1,518.2399999998863,-10.0
2026-09-24T00:02:55.463125+00:00,USDJPY,SELL,2026-09-24T00:00:00+00:00,0.5933,0.6208,0.3691,0.4952,3274047877,158.269,158.119,158.369,0.2,995.6,10.49
2026-09-24T00:18:51.043299+00:00,GBPUSD,BUY,2026-09-24T00:15:01+00:00,0.417,0.3717,0.8206,0.8367,3274086100,1.32332,1.32482,1.32232,0.01,-244.399999999668,-1.0
2026-09-24T01:04:51.576680+00:00,EURUSD,SELL,2026-09-24T01:00:00+00:00,0.4292,0.4004,0.8467,0.8855,3274205062,1.1377,1.1362,1.1387,0.2,1005.09,2.6
2026-09-24T01:22:50.658219+00:00,EURUSD,BUY,2026-09-24T01:20:00+00:00,0.4377,0.3584,0.8266,0.9118,3274256895,1.13788,1.13938,1.13688,0.2,1000.8900000000036,2.4
2026-09-24T02:06:52.497689+00:00,EURUSD,SELL,2026-09-24T02:05:00+00:00,0.4741,0.3292,0.7813,0.8735,3274395718,1.13712,1.13562,1.13812,0.2,1010.09,2.6
